,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence
albania,90,27,80,70,56,15
algeria,80,29,35,70,25,32
angola,83,18,20,60,15,83
argentina,49,51,56,86,29,62
armenia,85,17,50,88,38,25
australia,38,73,61,51,56,71
austria,11,77,79,70,47,63
azerbaijan,85,28,50,88,59,22
bangladesh,80,5,55,60,38,20
belarus,95,48,20,95,53,15
belgium,65,81,54,94,61,57
bhutan,94,52,32,28,,
bolivia,78,23,42,87,21,46
bosnia and herzegovina,90,40,48,87,36,44
brazil,69,36,49,76,28,59
bulgaria,70,50,40,85,51,16
burkina faso,70,15,50,55,27,18
canada,39,72,52,48,54,68
cape verde,75,20,15,40,12,83
chile,63,49,28,86,12,68
china,80,43,66,30,77,24
colombia,67,29,64,80,6,83
costa rica,35,15,21,86,,
croatia,73,42,40,80,40,33
czech republic,57,70,57,74,51,29
denmark,18,89,16,23,59,70
dominican republic,65,38,65,45,11,54
ecuador,78,24,63,67,24,
egypt,80,13,55,55,22,0
el salvador,66,19,40,94,20,89
estonia,40,62,30,60,71,16
ethiopia,70,7,65,55,14,46
fiji,78,14,46,48,,
finland,33,75,26,59,63,57
france,68,74,43,86,60,48
georgia,65,15,55,85,24,32
germany,35,79,66,65,57,40
ghana,80,9,40,65,1,72
greece,60,59,57,100,51,50
guatemala,95,36,37,98,25,
honduras,80,20,40,50,,
hong kong,68,50,57,29,93,17
hungary,46,71,88,82,45,31
iceland,30,83,10,50,57,67
india,77,24,56,40,51,26
indonesia,78,5,46,48,29,38
iran,58,23,43,59,30,40
iraq,97,25,53,96,11,23
ireland,28,58,68,35,51,65
israel,13,56,47,81,47,
italy,50,53,70,75,39,30
jamaica,45,39,68,13,,
japan,54,62,95,92,100,42
jordan,70,20,45,65,20,43
kazakhstan,88,20,50,88,85,22
kenya,70,4,60,50,11,
kuwait,90,28,40,80,31,
latvia,44,70,9,63,69,13
lebanon,62,27,48,57,47,10
libya,100,17,66,67,22,74
lithuania,42,55,19,65,49,16
luxembourg,40,60,50,70,64,56
malawi,70,30,40,50,,
malaysia,100,27,50,36,47,57
malta,56,59,47,96,47,66
mexico,81,34,69,82,23,97
moldova,90,27,39,95,71,19
montenegro,88,27,48,90,40,20
morocco,70,24,53,68,25,25
mozambique,85,15,38,44,11,80
namibia,65,30,40,45,35,
nepal,65,30,40,40,,
netherlands,38,100,14,53,67,68
new zealand,22,69,58,49,55,75
nigeria,80,0,60,55,8,84
north macedonia,90,40,45,87,35,35
norway,31,81,8,50,55,55
pakistan,55,5,50,70,19,0
panama,95,11,44,86,,
paraguay,70,12,40,85,20,56
peru,64,20,42,87,5,46
philippines,94,17,64,44,46,42
poland,68,47,64,93,49,29
portugal,63,59,31,99,42,33
puerto rico,68,43,56,38,27,90
qatar,93,18,55,80,14,
romania,90,46,42,90,32,20
russia,93,46,36,95,58,20
são tomé and príncipe,75,37,24,70,32,41
saudi arabia,72,48,43,64,27,14
senegal,70,25,45,55,25,
serbia,86,42,43,92,37,28
sierra leone,70,20,40,50,,
singapore,74,43,48,8,67,46
slovakia,100,57,100,51,53,28
slovenia,71,81,19,88,50,48
south africa,49,23,63,49,18,63
south korea,60,18,39,85,100,29
spain,57,67,42,86,47,44
sri lanka,80,35,10,45,45,
suriname,85,47,37,92,,
sweden,31,87,5,29,52,78
switzerland,34,79,70,58,42,66
syria,80,35,52,60,30,
taiwan,58,40,45,69,87,49
tanzania,70,25,40,50,34,38
thailand,64,19,34,64,67,45
trinidad and tobago,47,25,58,55,17,80
tunisia,70,27,40,75,24,
turkey,66,46,45,85,35,49
ukraine,92,55,27,95,51,14
united arab emirates,74,36,52,66,22,22
united kingdom,35,76,66,35,60,69
united states,40,60,62,46,50,68
uruguay,61,60,38,98,28,53
venezuela,81,26,73,76,16,100
vietnam,70,30,40,30,47,35
zambia,60,35,40,50,30,42
mongolia,93,37,29,39,50,42
