Country Name,"Age at first marriage, female","Age at first marriage, male",Capital health expenditure (% of GDP),Death due to disease and nutrition,Death due to injury,"Non-communicable diseases","Community health workers","Condom use, population ages 15-24",Consumption of iodized salt,Current health expenditure (% of GDP),Births attended by skilled health staff,"Contraceptive prevalence, any method",Current health expenditure per capita,Demand for family planning,Absence of Diabetes,Diarrhea treatment,Exclusive breastfeeding,Female headed households,Hospital beds,"Immunization, BCG","Immunization, DPT","Immunization, HepB3","Immunization, Hib3","Immunization, Pol3","Immunization, measles","Immunization, measles second dose",Domestic private health expenditure,Domestic general health expenditure,Incidence of tuberculosis,"Literacy rate, adult total","Literacy rate, youth total",Malaria resistance,Road traffic injury,"Mortality from CVD, cancer, or diabetes",Air pollution,Unintentional poisonings,Unsafe water,Newborns protected against tetanus,Number of undernourished people,Nurses and midwives,People practicing open defecation,Basic drinking water services,Basic sanitation services,Lack of managed drinking water services,Lack of managed sanitation services,Handwashing facilities,Physicians,Low Poverty Frequency,Prevalence of HIV,Prevalence of current tobacco use,Prevalence of hypertension,Lean body composition,Public spending on education,Prevalence of underweight children,Prevalence of anemic women,Unaffordable surgical care,School enrollment,Total alcohol consumption,Specialist surgical workforce,"Suicide mortality rate",Teenage mothers,Unemployment,Unmet contraception need for women,Urban poverty headcount ratio,Rural poverty headcount ratio,Vitamin A supplementation coverage rate,Even societal power distribution,Individualism,Motivation,Adversion to uncertainty,Openness to Change,Positivity,Hepatitis B resistance,Measles,BMI,Diphtheria resistance,HIV/AIDS,GDP,Polio,Schooling,Alcohol,"Life expectancy at birth, total (years)"
Afghanistan,21.4,24.7,0.244164935,49.1185148225229,11.8654922483532,39.01599333675,5053479.19905546,5053479.19905546,46.5666666666667,9.44376949,30.9,5053479.19905546,39.5954908635714,47.9,7.6,44.1,63.063137,1.7,0.430625,60.0,55.0625,64.5555555555555,64.8571428571429,55.375,51.6875,24.75,30.2264179142857,2.04730774857143,189.0625,31.4488506317139,55.665023803711,138600.785714286,14.65625,39.19375,5053479.19905546,1.85625,5053479.19905546,71.1875,7973333.33333333,0.3936875,20.4129067163775,43.1039691364949,31.5658589002461,17.075935191344,5053479.19905546,38.2967934378804,0.228036363636364,36.0,0.1,31.175,37.7375,18.0625,3.29335815256292,28.15,36.575,5053479.19905546,88.7761954069138,0.01269,0.03,4.55625,12.1,8.10725,24.5,5053479.19905546,5053479.19905546,89.1333333333333,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,64.5625,2362.25,15.51875,52.3125,0.1,340.01542546875,48.375,8.2125,0.014375,59.439
Africa Eastern And Southern,5053479.19905546,5053479.19905546,5053479.19905546,59.7030690783006,9.17140938456516,31.1255213050642,5053479.19905546,34.6071196236293,62.2644906033984,6.01016079198178,46.7894150957182,24.3081916915676,79.9832256277627,5053479.19905546,4.58718137705871,5053479.19905546,39.6506422587434,5053479.19905546,0.910850871743389,79.9021660532567,69.9480434689668,54.9469196758316,45.2674763503509,70.8912495445903,68.8410938148947,5.91198344631327,36.1918380734102,33.6734722111053,5053479.19905546,64.4295115470886,73.7758965492249,5053479.19905546,29.3408891248964,25.7980315134263,5053479.19905546,3.30111074413182,5053479.19905546,75.3103619394418,109880000.0,0.599627151981902,26.0515418811316,47.5318681474886,25.6461156865221,5053479.19905546,20.799533059708,21.9878795457922,0.103359172473203,5053479.19905546,5.64942490272704,17.2916240436836,36.5022372706161,24.8138776803601,4.2369434925226,5053479.19905546,36.5372827020442,62.1094767362952,97.3122310638428,4.99824256422568,1.99926059628514,9.65932828727333,5053479.19905546,6.58915393262455,25.1015749738986,5053479.19905546,5053479.19905546,60.8242860921529,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,56.532945680377
Africa Western And Central,5053479.19905546,5053479.19905546,5053479.19905546,66.0951550000503,7.4948961079639,26.4099491942872,0.144089252241637,38.395345755815,78.0864000257484,3.8313374981981294,44.7381361040761,16.1242085859889,51.849158289626,5053479.19905546,4.41273914435456,36.2837010593078,18.3239868046504,5053479.19905546,5053479.19905546,68.6768065680025,56.5161572283755,41.1048820308782,26.4785189332585,59.0786296282219,56.2229696565675,1.47602743996315,35.2917821784651,10.9052047072665,5053479.19905546,51.558477640152,63.4524462223053,5053479.19905546,26.3848808628019,22.5860044709191,5053479.19905546,3.0755060746302,5053479.19905546,69.9412379909591,38233333.3333333,0.910515738912448,28.8194293346448,58.5217547051951,26.6211900465129,18.8932793248003,16.6054031497584,25.6315456494229,0.205280687878713,5053479.19905546,2.10020748338225,9.86769267851417,37.2745937556677,23.7213012708391,2.76052690297365,5053479.19905546,53.5508513881224,40.3300023847494,89.2495670318604,5.15601321408576,1.24233903854194,6.43837665579266,5053479.19905546,4.25840191893589,23.2619305976169,5053479.19905546,5053479.19905546,62.9397209193174,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,53.3663614687674
Albania,24.0666666666667,28.14,0.145214809375,4.77462159351163,6.00554516333255,89.2198338510355,5053479.19905546,49.8,88.8333333333333,5.993922291875,99.0375,46.1,193.206129075,84.4,2.8,54.7666666666667,21.5773535,15.6,3.05230769230769,96.875,98.0625,98.0,98.7142857142857,98.125,96.8125,96.3333333333333,107.154878615,80.75097160875,18.3125,97.1859722137451,98.3937896728516,5053479.19905546,14.35625,17.68125,5053479.19905546,0.525,5053479.19905546,86.3125,200000.0,3.98238461538462,0.505361863453992,90.104420099531,93.6930513155556,58.21812489603791,32.2747799980671,5053479.19905546,1.23748333333333,21.95,0.1,29.85,41.2625,51.40625,3.25512175900595,6.45,23.075,5053479.19905546,99.1349534988404,5.1665575,9.35,6.20625,4.6,15.9473125,12.9,5053479.19905546,5053479.19905546,5053479.19905546,90.0,27.0,80.0,70.0,56.0,15.0,98.0,53.375,49.06875,98.0625,0.1,2119.726678875,98.125,12.1375,4.84875,77.1960625
Algeria,29.125,32.925,0.01103354,16.7149153274635,9.92248963648397,73.3625962789859,5053479.19905546,5053479.19905546,74.9,4.63260361625,94.925,5053479.19905546,187.203107119375,5053479.19905546,7.0,35.8,14.9637366666667,5053479.19905546,1.8,98.5,91.875,90.75,94.75,91.75,89.0625,93.25,53.529423820625,133.604720100625,75.0625,72.5527420043945,91.8947245279948,9.5625,22.1375,15.875,5053479.19905546,0.91875,5053479.19905546,76.5625,1806666.66666667,2.05945,3.50201198922404,91.687485972399,86.1534898024828,73.7906556445814,61.0522509268548,83.4129500674868,1.1101,5.5,0.1,21.65,37.48125,55.41875,6.26982271671295,5.725,34.525,14.1307692307692,111.119943141937,0.4501175,12.13,3.53125,5053479.19905546,15.580625,9.4,5053479.19905546,5053479.19905546,5053479.19905546,80.0,29.0,35.0,70.0,25.0,32.0,78.7402105263158,1943.875,48.74375,91.875,0.1,2847.8533923125,91.75,12.7125,0.669678473491773,72.913625
American Samoa,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,100.0,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,7.1,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,0.601757866868797,96.8348468996422,62.540175484963,86.3963138959868,43.0014977989443,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,14.7170495986938,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,72.9
Andorra,5053479.19905546,5053479.19905546,0.10408660125,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,6.180206388125,100.0,5053479.19905546,2529.2826232925,5053479.19905546,5.4,5053479.19905546,5053479.19905546,5053479.19905546,2.78428570202857,5053479.19905546,97.5625,89.4375,95.3125,97.1875,96.5,86.0,810.10652937625,1719.17606542312,11.53125,5053479.19905546,5053479.19905546,5053479.19905546,7.6,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,3.31211,0.0,99.9999995886038,99.9999995886038,90.6400011358265,63.7630372909686,5053479.19905546,3.02711,5053479.19905546,5053479.19905546,34.425,35.06875,61.8375,2.50330417354902,5053479.19905546,10.6125,5053479.19905546,5053479.19905546,11.5857525,60.27,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,83.6
Angola,20.5,24.8,5053479.19905546,67.0071567133637,7.66227812929158,25.3305652604861,5053479.19905546,5053479.19905546,69.55,3.0264743575,47.3,14.4,84.3598441475,5053479.19905546,2.9,5053479.19905546,11.0,23.25,0.8,67.0,48.4375,50.0,50.0,35.75,48.875,26.0,33.167713048125,48.795684965,359.9375,66.7177658081054,74.8128089904785,1667000.63636364,24.9375,25.85625,5053479.19905546,3.1875,5053479.19905546,73.8125,7646666.66666667,1.1499,32.4586128059875,48.1512676612114,37.7334943473527,5053479.19905546,5053479.19905546,26.1685292414869,0.0967,5053479.19905546,1.675,5053479.19905546,38.8625,22.11875,3.0342583656311,17.05,48.50625,36.0538461538462,107.845582326253,6.9878,5053479.19905546,7.61875,35.55,5.7741875,5053479.19905546,5053479.19905546,5053479.19905546,44.6428571428571,83.0,18.0,20.0,60.0,15.0,83.0,74.9203684210526,3561.3125,18.01875,47.6875,2.36875,1975.14304511875,46.125,8.04375,5.67030347349177,53.820125
Antigua And Barbuda,25.7,29.3,0.0497599857142857,12.3369621230989,6.22096392453811,81.4420730611803,5053479.19905546,5053479.19905546,5053479.19905546,5.096706898125,99.8466666666667,5053479.19905546,668.46258926375,5053479.19905546,12.5,5053479.19905546,5053479.19905546,5053479.19905546,2.57384615384615,5053479.19905546,98.3125,98.2666666666667,97.8666666666667,96.9375,97.3125,82.7272727272727,289.700126493125,378.095206788125,5.36875,98.9499969482422,5053479.19905546,5053479.19905546,5.10625,18.2625,5053479.19905546,0.5625,5053479.19905546,5053479.19905546,5053479.19905546,4.2735,0.625619716645645,98.3658131838912,97.3682049427933,5053479.19905546,5053479.19905546,5053479.19905546,1.1206,5053479.19905546,5053479.19905546,5053479.19905546,40.8875,43.38125,2.75634475549062,5053479.19905546,18.65625,5053479.19905546,111.585827636719,6.09258,14.04,0.7375,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,97.1850526315789,0.0,38.425,98.3125,0.125,9759.305728125,96.9375,8.84375,7.74092847349177,76.362375
Arab World,5053479.19905546,5053479.19905546,5053479.19905546,25.2879220712845,11.2063925976753,63.5056853067033,5053479.19905546,5053479.19905546,68.0302820693424,4.04001339156568,74.3467791494704,5053479.19905546,206.6533233889,5053479.19905546,12.0885376822411,5053479.19905546,35.1560304334168,5053479.19905546,1.5862744926403,88.5506565504409,84.7200002981528,75.7918199725193,39.5411136795668,85.1002696606207,83.513411441487,62.4415926784564,84.2544147882764,121.253968423092,5053479.19905546,69.5620672702789,83.2800359725952,5053479.19905546,20.0338850174462,24.469585817043,5053479.19905546,1.05927008767203,5053479.19905546,77.5560451237554,36153333.3333333,5053479.19905546,9.97264959089641,81.7134003670431,77.3484794434456,5053479.19905546,53.3379416965734,72.2573492943186,1.19478540248895,5053479.19905546,0.127285662715406,22.198784740771,38.5358318705211,56.1094298951012,3.9217651963233906,5053479.19905546,35.1602779923108,16.6135842266601,93.7424759864807,0.389002621610627,21.5213202867888,4.4738069336582305,5053479.19905546,10.8922667766032,14.1346024888637,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,69.0817358026719
